Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0.8783599380561679,0.843731843100924,0.03372714606912114,-8.413397542032138e-33,0.01929535055571765,-0.03726326574579322,-1.933125636747296e-32
0.8858177257332093,0.8438747336018486,0.033444131936216204,-8.556313177281612e-33,0.01902383087291259,-0.03863276449521719,-1.8994191428833304e-32
0.8932877479469102,0.8440158147174341,0.03315045095631319,-8.696918655130663e-33,0.018748178309722415,-0.039994790702818736,-1.8649977327014763e-32
0.900770495547793,0.8441550584962426,0.03284610710321621,-8.835161253163134e-33,0.018468535318101754,-0.041348956805853904,-1.8298624203282238e-32
0.9082664249012005,0.8442924368653286,0.032531107049919676,-8.970986928650378e-33,0.018185046097527,-0.04269486132341414,-1.794014581071122e-32
0.9157759499537956,0.8444279215364761,0.03220546085163515,-9.10434023693306e-33,0.01789785685691382,-0.044032087478559426,-1.7574560205850525e-32
0.9232994281512836,0.8445614838196875,0.03186918297044652,-9.235164166820803e-33,0.01760711631326479,-0.04536020085259927,-1.7201890788675248e-32
0.9308371594254866,0.8446930946896258,0.0315222927991823,-9.363400233861686e-33,0.017312975685321173,-0.04667874949934322,-1.682216674861477e-32
0.9383893662599483,0.8448227245341192,0.031164816096329366,-9.488988272419627e-33,0.01701558940901863,-0.0479872608684489,-1.643542448872863e-32
0.9459561776476427,0.8449503430055455,0.030796786378382207,-9.611866344820032e-33,0.016715115707239544,-0.04928523966681935,-1.604170893869583e-32
0.9535376235714313,0.8450759190764808,0.03041824589361853,-9.731970863231865e-33,0.016411716730101736,-0.05057216775576727,-1.5641074375883266e-32
0.9611336136832564,0.8451994208535165,0.030029247442871894,-9.849236495484302e-33,0.016105559302956325,-0.05184750157347559,-1.5233586113019782e-32
0.9687439195922983,0.8453208154896991,0.029629856152913775,-9.963596188908996e-33,0.015796815518429985,-0.05311067050988968,-1.48193220714732e-32
0.9763681633376892,0.8454400692280423,0.02922015102312532,-1.0074981341424201e-32,0.015485663052530015,-0.054361076633056886,-1.4398374069481878e-32
0.9840057965561195,0.8455571473275646,0.028800227045571822,-1.0183321887035873e-32,0.015172285826468998,-0.055598093209556804,-1.3970849657564893e-32
0.9916560863370834,0.8456720141295747,0.028370197062959856,-1.0288546541564421e-32,0.01485687436264443,-0.056821064713870814,-1.3536873629529397e-32
0.9993180986780497,0.8457846331170251,0.02793019382538712,-1.0390583071058043e-32,0.01453962619763497,-0.058029306828680856,-1.3096589690124862e-32
1.0069906917701301,0.8458949671455535,0.027480371532962757,-1.048935874603101e-32,0.014220745842996088,-0.05922210837962956,-1.265016156620951e-32
1.0146725035293251,0.8460029786067713,0.027020907714498433,-1.0584800761218866e-32,0.013900444933480232,-0.06039873269549037,-1.2197774425973249e-32
1.0223619523471537,0.8461086297931858,0.026552004313556966,-1.0676836861419177e-32,0.013578941775284289,-0.061558421333885366,-1.1739635488780306e-32
1.0300572379224489,0.8462118832595773,0.026073888690040726,-1.0765395982110024e-32,0.013256460838722542,-0.06270039802331902,-1.1275974549762051e-32
1.0377563552986404,0.8463127023488707,0.025586813693703626,-1.0850409044297708e-32,0.012933231651404656,-0.06382387471029112,-1.0807043609375341e-32
1.045457106107249,0.8464110516493454,0.02509105774110957,-1.0931809692103802e-32,0.012609487768625754,-0.06492805719019708,-1.0333116534004317e-32
1.0531571348239304,0.8465068977296244,0.024586923082216123,-1.1009535252577746e-32,0.012285464664763712,-0.06601215422270415,-9.854487022741989e-33
1.0608539583297119,0.8466002097141734,0.024074734197358914,-1.1083527532396926e-32,0.011961397890975724,-0.06707538529803764,-9.371466776597342e-33
1.0685450043949525,0.8466909598952959,0.023554835321937324,-1.115373360728091e-32,0.011637520862486197,-0.06811698921897277,-8.88438291496231e-33
1.0762276587772561,0.8467791243574887,0.0230275870675466,-1.1220106566170894e-32,0.011314062306930387,-0.06913623323552595,-8.393574635905254e-33
1.0838993162042045,0.8468646835428698,0.02249336242812617,-1.1282606138163952e-32,0.010991243593245123,-0.07013242189708026,-7.899389411298587e-33
1.0915574270732884,0.8469476226626567,0.02195254274856267,-1.134119912354413e-32,0.010669276304573356,-0.07110490445524598,-7.402179258161728e-33
1.0991995575441265,0.8470279321488257,0.02140551243774842,-1.1395859761954139e-32,0.01034835932911784,-0.07205308301035686,-6.902295966650962e-33
1.1068234120917881,0.8471056076073131,0.020852656083076564,-1.1446569662004007e-32,0.010028677622210812,-0.07297641497734009,-6.400088635137775e-33
1.114426886876016,0.8471806500231331,0.020294353187998295,-1.1493317825599756e-32,0.009710399773577079,-0.07387441857692124,-5.895899111618667e-33
1.1220080911444392,0.8472530655616122,0.019730975053676554,-1.1536100319793546e-32,0.009393677020146983,-0.07474667354470035,-5.3900594729335576e-33
1.1295653732190762,0.8473228653715176,0.019162881264767045,-1.1574919888051661e-32,0.009078642166403817,-0.07559282174850507,-4.8828891990259165e-33
1.1370973414108718,0.8473900652978954,0.018590416507204183,-1.1609785444012973e-32,0.008765408813233042,-0.07641256656898751,-4.374692700596931e-33
1.1446028432871231,0.8474546852090844,0.018013910588656798,-1.1640711326317301e-32,0.008454072402216895,-0.07720566734127977,-3.865759716281284e-33
1.152081004971228,0.8475167488585637,0.017433673972393662,-1.1667716806597515e-32,0.008144708834790137,-0.07797194004910042,-3.3563617405364494e-33
1.1595311875228997,0.8475762830324891,0.016849999757177707,-1.1690825232253151e-32,0.007837376592973233,-0.07871124898170208,-2.8467541580062967e-33
1.1669529831326066,0.847633317087227,0.01626316279332096,-1.1710063388983193e-32,0.007532117243558191,-0.07942350282346881,-2.3371758093683957e-33
1.174346209767676,0.8476878824922308,0.015673419034412116,-1.172546086780251e-32,0.007228956041446639,-0.08010865053183462,-1.827848760120293e-33
1.1817108952704662,0.847740012319497,0.015081005857662108,-1.173704943216152e-32,0.006927902989206404,-0.08076667626627992,-1.3189788967266106e-33
1.1890472366040366,0.8477897406068932,0.01448614456139311,-1.1744862412863901e-32,0.006628954916857285,-0.08139759242649809,-8.107583527179109e-34
1.196355596666149,0.8478371020416495,0.013889040017303567,-1.174893423937142e-32,0.006332096019984271,-0.08200143646092016,-3.033654430256644e-34
1.2036365032364895,0.8478821316707258,0.013289880228772324,-1.1749299982089858e-32,0.006037298316125873,-0.08257826783265558,2.0303547866092954e-34
1.210890586463183,0.8479248642680683,0.012688841071379525,-1.1745994944128719e-32,0.005744524578602372,-0.08312816039030037,7.082898103988898e-34
1.218118606550853,0.8479653343106848,0.012086083752926443,-1.1739054336429943e-32,0.00545372759620214,-0.08365120234975301,1.2122546939961145e-33
1.2253213915094818,0.8480035754478625,0.01148175980231036,-1.1728513026853769e-32,0.005164853049567577,-0.08414748962937764,1.7147946932001766e-33
1.23249987836945,0.8480396205884111,0.010876007532593015,-1.1714405251491037e-32,0.0048778382020423046,-0.08461712704429822,2.215784636700953e-33
1.2396550553175836,0.8480735014663917,0.010268956850615992,-1.1696764474883936e-32,0.0045926145542728135,-0.08506022266138141,2.715105514578152e-33
1.2467879793210381,0.8481052486353834,0.009660727803230797,-1.1675623185217969e-32,0.004309107449880859,-0.08547688763534537,3.2126456093562044e-33
1.253899749722072,0.8481348912586033,0.009051432883961784,-1.1651012803887682e-32,0.004027237424132319,-0.08586723333176988,3.708298530989131e-33
1.2609914979127266,0.8481624570067935,0.008441178038449775,-1.1622963609904817e-32,0.003746920887906054,-0.0862313698071177,4.2019623575621054e-33
1.268064390265604,0.8481879720215387,0.007830062560255696,-1.1591504636119693e-32,0.0034680702714582996,-0.08656940512454799,4.693539686532169e-33
1.275119624552444,0.84821146085463,0.007218179559692735,-1.155666359393097e-32,0.003190594414141015,-0.08688144433919516,5.182937218929353e-33
